Timestamp,"Write a question relevant to our subjects which profs ask(eg. What is NLP?, Can someone tell me the difference between ML and AI? etc.)",Is the question difficult?,Is the question interesting?
10/10/2021 9:23:06,What is NLP?,No,No
10/10/2021 9:26:03,Can someone tell me the difference between ML and AI?,No,Yes
10/10/2021 10:00:22,Difference between deep learning and machine learning,Yes,Yes
10/10/2021 10:34:10,What is Machine Learning?,No,Yes
10/10/2021 10:43:34,Mention some real life problems that can be solved using NLP?,No,Yes
10/10/2021 11:44:01,What is engineering?,Yes,No
10/10/2021 12:17:57,What's deep learning,Yes,Yes
10/10/2021 12:25:56,Do u like Idli or dosa? can you elucidate your answer?,Yes,Yes
10/10/2021 12:33:47,Why is MIMD better than SIMD ?,Yes,Yes
10/10/2021 12:35:07,What are the project specifications for waterfall model?,Yes,Yes
10/10/2021 14:02:03,Whats the difference between addition and subtraction,No,Yes
10/10/2021 16:38:11,What are the applications of AI?,No,Yes
10/11/2021 14:24:43, Identify the morphological variants for the given words,No,Yes
10/11/2021 14:25:16,Draw an FST which recognizes the affix-ed associated with regular verbs in English.,Yes,Yes
10/11/2021 14:26:50,What are the data structures which can be used in crawlers,Yes,Yes
10/11/2021 14:28:26,Can someone derive the time complexity for the heapify function?,Yes,No
10/11/2021 14:28:54,What are the different notations used in time complexity?,No,No
10/11/2021 14:29:39,How many students here are comfortable in programming? ,No,No
10/11/2021 14:33:23,Which data structure would be suitable here?,No,Yes
10/11/2021 14:34:05,What is star topology?,No,No
10/11/2021 14:34:25,Can somebody summarize the difference between ADT and data structures?,Yes,No
10/11/2021 14:35:32,Can anyone explain cross site scripting?,No,Yes
10/11/2021 14:36:19,Will machines take over humans?,Yes,Yes
10/11/2021 14:36:42,Does anybody have an idea about the structure of the internet?,No,Yes
10/11/2021 14:37:52,Can someone suggest some measures to avoid hash collision? ,Yes,Yes
10/11/2021 14:38:17,What is System Design?,No,Yes
10/11/2021 14:39:15,What are some operating system concepts which are used in elevators? ,Yes,Yes
10/11/2021 14:41:24,What are the differences between finite state transducers and automata?,Yes,Yes
10/11/2021 14:42:57,Who is the better spinner in terms of economy? - Yuzi Chahal or Ravi Ashwin,No,Yes
10/11/2021 14:46:01,Can u explain the theory behind Shane Warne's ball of the century?,Yes,Yes
10/11/2021 14:46:08,Someone point out the draw backs of single perceptrons,Yes,Yes
10/11/2021 14:46:36,Have you all understood?,No,No
10/11/2021 14:47:33,What is 2 + 2?,No,No
10/13/2021 9:34:44,What is the data structure used for LIFO operations?,No,Yes
10/13/2021 9:35:15,What is the Time Complexity of Merge Sort?,No,Yes
10/13/2021 9:36:20,What is the full form of NLP?,No,No
10/13/2021 9:36:41,What is Dark Web?,No,Yes
10/13/2021 9:37:02,Is HTML a programming Language?,Yes,Yes
10/13/2021 9:37:19,What are the selectors in CSS?,No,Yes
10/13/2021 9:39:38,What is the Capital of Belgium?,No,No
10/13/2021 9:40:12,Explain the advantages of Agile SCRUM.,No,Yes
10/13/2021 9:41:10,What are the different frameworks for JavaScript?,No,No
10/13/2021 9:42:20,What are the prime factors of 6?,No,No
10/13/2021 9:43:25,Elaborate on the crimes committed in Dark Web.,Yes,Yes
10/13/2021 9:44:04,Who are the founders of Google?,No,Yes
10/13/2021 9:51:11,Explain the lifecycle model of Business Data Analytics,Yes,Yes
10/13/2021 9:51:39,How do Banks incorporate Data Analytic Techniques?,Yes,Yes
10/13/2021 10:16:07,Explain the interrupt routines of 8086.,Yes,Yes
10/13/2021 10:16:28,Who is Napoleon Bonaparte?,No,No
10/13/2021 11:00:15,Explain MiniMax algorithm.,Yes,Yes
10/13/2021 11:01:23,What is data warehousing?,No,No
10/13/2021 11:02:27,Design a Large Scale Distributed System.,Yes,Yes
10/13/2021 11:02:58,Invert a binary tree.,No,Yes
10/13/2021 11:03:59,Reverse LinkedList in groups of k nodes.,Yes,Yes
10/13/2021 11:04:21,What did we discuss last class?,No,No
10/13/2021 11:04:37,What are the 5 levels of data validation?,No,No
10/13/2021 11:05:11,What is a monarchy?,No,No
10/13/2021 11:05:30,What is the Arab Spring?,No,Yes
10/13/2021 11:05:50,Why was Assad's regime opposed in Syria?,Yes,Yes
10/13/2021 11:06:07,How significant is the 4-color theorem in real world applications? Elucidate.,Yes,Yes
